0,1,2,3,4,5,6,7,8,9
16.0,0.0,-1354_0,-93.35,Vehicle,71.67,424.64,1786.58,12.8,VehicleFlowEastToNorth.0
16.0,0.0,-1354_0,-93.35,Vehicle,29.34,422.17,1828.74,13.55,VehicleFlowEastToSouth.0
16.0,0.0,-1354_0,-93.35,Vehicle,7.0,420.87,1851.0,11.9,VehicleFlowEastToWest.0
16.0,0.0,-1354_0,-100.83,Vehicle,184.56,444.67,1675.81,12.56,VehicleFlowEastToWest_0.0
16.0,0.0,-1280#0_0,-56.23,Vehicle,191.57,651.85,2196.73,13.18,VehicleFlowEastToWest_1.0
16.0,0.0,-1328#0_1,29.84,Vehicle,184.87,877.78,669.29,13.68,VehicleFlowWestToEast.0
16.0,0.0,-1328#0_1,22.52,Vehicle,114.83,940.83,639.29,13.88,VehicleFlowWestToEast.1
16.0,0.0,-1328#0_0,18.54,Vehicle,20.93,1028.1,604.87,8.22,VehicleFlowWestToEast.2
16.0,0.0,229259796#0_0,71.4,Vehicle,185.91,623.42,1156.58,8.76,VehicleFlowWestToEast_0.0
16.0,0.0,229259796#0_0,71.4,Vehicle,79.96,657.21,1056.17,12.46,VehicleFlowWestToEast_0.1
16.0,0.0,-1328#0_1,23.05,Vehicle,157.15,901.8,655.51,13.07,VehicleFlowWestToNorth.0
16.0,0.0,-1324_0,69.17,Vehicle,192.68,710.9,910.74,12.12,VehicleFlowWestToSouth.0
17.0,0.0,-1356_0,-102.46,Bus,88.69,572.97,1508.15,4.49,BusFlowEastWest0.0
17.0,0.0,28925528_1,-29.54,Bus,95.58,642.91,1231.51,0.0,BusFlowNorthSouth0.0
17.0,0.0,239331354_0,148.85,Bus,114.62,572.27,1222.56,0.0,BusFlowSouthNorth0.0
17.0,0.0,-240120122_0,67.52,Bus,191.1,640.82,1045.29,12.73,BusFlowWestEast0.0
17.0,0.0,-1354_0,-100.83,Vehicle,85.23,426.04,1773.16,13.55,VehicleFlowEastToNorth.0
17.0,0.0,-1354_0,-93.35,Vehicle,42.61,422.94,1815.53,13.27,VehicleFlowEastToSouth.0
17.0,0.0,-1354_0,-93.35,Vehicle,20.42,421.65,1837.63,13.41,VehicleFlowEastToWest.0
